School,卡片類型,卡片編號,卡片名稱,時機點,稀有度,位置,發球,攔網,接球,托球,攻擊,完整技能,注釋
烏野,CHARACTER,HV-D01-007,縁下 力,"登場, 接球",D,WS,2,1,2,0,3,從自己手牌將1張卡丟棄即可使用。此角色的接球點數+3。,丟棄...將指定的卡片，依照指定數量放置到棄牌區。
烏野,CHARACTER,HV-D01-008,澤村 大地,-,D,WS,3,1,5,0,2,-,-
烏野,CHARACTER,HV-D01-009,菅原 孝支,-,D,S,1,1,2,2,3,-,-
烏野,CHARACTER,HV-D01-010,東峰 旭,-,D,WS,2,2,4,0,3,-,-
烏野,CHARACTER,HV-P01-001,日向 翔陽,-,秘,MB,2,3,4,0,2,-,
烏野,CHARACTER,HV-P01-002,日向 翔陽,"登場, 攻擊",頂,MB,2,3,1,0,1,支付 3 Guts 即可使用。此角色的攻擊點數+4，在下一個對手的回合中，對手不能讓基礎接球點數 6 以上的接球角色登場。,
烏野,CHARACTER,HV-P01-002,日向 翔陽,"登場, 攻擊",頂P,MB,2,3,1,0,1,支付 3 Guts 即可使用。此角色的攻擊點數+4，在下一個對手的回合中，對手不能讓基礎接球點數 6 以上的接球角色登場。,
烏野,CHARACTER,HV-P01-003,日向 翔陽,"登場, 攻擊",S,MB,1,2,2,0,2,此角色從手牌登場，且自己的手牌在 3 張以下，且自己的托球角色為「影山 飛雄」時可使用。此角色的攻擊點數+2，在下一個對手的回合中，對手最多只能登場 2 名攔網角色。,
烏野,CHARACTER,HV-P01-004,日向 翔陽,-,極,MB,2,0,5,0,3,-,
烏野,CHARACTER,HV-P01-004,日向 翔陽,-,R,MB,2,0,5,0,3,-,
烏野,CHARACTER,HV-PR-005,日向 翔陽,-,P,MB,2,3,3,0,3,-,
烏野,CHARACTER,HV-PR-003,日向 翔陽,"登場, 攻擊",P,MB,1,1,1,0,2,從自己的手牌丟棄 1 張卡即可使用。此角色的攻擊點數+2。,
烏野,CHARACTER,HV-P01-005,影山 飛雄,-,秘,S,4,1,2,2,1,-,
烏野,CHARACTER,HV-P01-006,影山 飛雄,"登場, 舉球",頂,S,1,1,1,1,2,支付 2 Guts 即可使用。公開自己牌組最上方的 1 張卡，可將其中 1 張「日向 翔陽」或「開放式進攻」加入手牌，未加入的卡片放到牌組最下方。此外，此回合中，自己的「日向 翔陽」每登場 1 次，該角色的攻擊點數+2。,
烏野,CHARACTER,HV-P01-006,影山 飛雄,"登場, 舉球",頂P,S,1,1,1,1,2,支付 2 Guts 即可使用。公開自己牌組最上方的 1 張卡，可將其中 1 張「日向 翔陽」或「開放式進攻」加入手牌，未加入的卡片放到牌組最下方。此外，此回合中，自己的「日向 翔陽」每登場 1 次，該角色的攻擊點數+2。,
烏野,CHARACTER,HV-P01-007,影山 飛雄,-,R,S,2,2,1,2,2,-,
烏野,CHARACTER,HV-PR-004,影山 飛雄,"登場, 舉球",P,S,3,1,1,1,2,支付 2 Guts 即可使用。抽 1 張卡。,
烏野,CHARACTER,HV-P01-008,月島 螢,"登場, 攔網",S,MB,1,2,2,0,2,支付 2 Guts 即可使用以下 2 種效果。▶若自己的場上有「山口 忠」角色，此角色的攔網點數+2。▶此回合中，攔網成功時，執行 [=銅牆鐵壁(6)]。,【銅牆鐵壁(ドシャット)(N)】…本回合結束時，自己的攻擊點數會變成N。
烏野,CHARACTER,HV-P01-008,月島 螢,"登場, 攔網",SP,MB,1,2,2,0,2,支付 2 Guts 即可使用以下 2 種效果。▶若自己的場上有「山口 忠」角色，此角色的攔網點數+2。▶此回合中，攔網成功時，執行 [=銅牆鐵壁(6)]。,【銅牆鐵壁(ドシャット)(N)】…本回合結束時，自己的攻擊點數會變成N。
烏野,CHARACTER,HV-P01-009,月島 螢,-,N,MB,2,3,3,0,3,-,
烏野,CHARACTER,HV-P01-010,山口 忠,"登場, 發球",S,MB,2,2,0,0,3,公開自己牌組最上方的 1 張卡，若該卡為烏野卡片，在下一個對手的回合中，對手的托球角色每登場 1 次，該角色的托球點數-2。將公開的卡片放到牌組最下方。,
烏野,CHARACTER,HV-P01-011,西谷 夕,-,R,Li,-,-,6,0,0,-,
烏野,CHARACTER,HV-P01-011,西谷 夕,-,RP,Li,-,-,6,0,0,-,
烏野,CHARACTER,HV-P01-012,田中 龍之介,-,N,WS,5,2,2,0,3,-,
烏野,CHARACTER,HV-P01-012,田中 龍之介,-,NP,WS,5,2,2,0,3,-,
烏野,CHARACTER,HV-P01-013,緣下 力,"接球, 手牌",N,WS,1,0,2,0,0,從手牌將此卡丟棄，自己的 1 名烏野角色的接球點數+2。,【接球階段】…若此卡在接收階段於手牌中，則可與事件卡同時使用此技能。 【A】：…若不執行A，則無法使用此技能。
烏野,CHARACTER,HV-P01-014,澤村 大地,-,R,WS,1,3,5,0,0,-,
烏野,CHARACTER,HV-P01-014,澤村 大地,-,RP,WS,1,3,5,0,0,-,
烏野,CHARACTER,HV-P01-015,菅原 孝支,"登場, 舉球",N,S,1,0,2,1,2,支付 2 Guts 即可使用。抽 1 張卡，此角色的托球點數+1。,
烏野,CHARACTER,HV-P01-015,菅原 孝支,"登場, 舉球",NP,S,1,0,2,1,2,支付 2 Guts 即可使用。抽 1 張卡，此角色的托球點數+1。,
烏野,CHARACTER,HV-P01-016,東峰 旭,"登場, 攻擊",N,WS,3,0,1,0,3,自己的托球角色為烏野的 S (舉球員) 時，支付 4 Guts 即可使用。此角色的攻擊點數+2。,
"烏野,音駒",CHARACTER,HV-P01-072,日向・孤爪,登場,N,"MB, S",1,0,0,1,3,登場此卡時，將此卡的卡名變更為「日向 翔陽」或「孤爪 研磨」。（登場此卡時所選擇的卡名，有效至該回合結束。此卡在計算場上角色數量時，視為 1 人）,
"烏野,音駒",CHARACTER,HV-P01-073,月島・黒尾,登場,N,"MB, MB",2,3,0,0,2,登場此卡時，將此卡的卡名變更為「月島 螢」或「黑尾 鐵朗」。（登場此卡時所選擇的卡名，有效至該回合結束。此卡在計算場上角色數量時，視為 1 人）,
烏野,CHARACTER,HV-PR-001,日向 翔陽,登場,P,OP,3,1,3,0,2,此角色登場於「日向 翔陽」之上時，此角色的 1 項參數+1。,<參數> 發球得分、攔網得分、接發球得分、拋球得分和進攻得分的通用術語。
烏野,CHARACTER,HV-PR-002,影山 飛雄,登場,P,S,2,1,1,1,1,此角色登場於「影山 飛雄」之上時，此角色的 1 項參數+1。,<參數> 發球得分、攔網得分、接發球得分、拋球得分和進攻得分的通用術語。
烏野,CHARACTER,HV-P02-003,月島 螢,"登場, 攔網","頂, 頂P",MB,1,2,3,0,2,對手的Event區有2張卡或以上時，自己手牌的1張Event卡放置到Event區發動以下效果。抽1張牌，此角色攔網值+6。,
音駒,CHARACTER,HV-D02-001,孤爪 研磨,"登場, 舉球",D,S,1,2,1,1,0,支付2 Guts即可使用。此角色的托球點數+1，在對手的下一個回合中，每次對手的攻擊角色登場時，該角色的攻擊點數-2。,支付Guts...將此角色下方的卡片，依照指定數量放置到棄牌區。
音駒,CHARACTER,HV-D02-002,黑尾 鐵朗,"登場, 攔網",D,MB,1,3,1,0,2,支付1 Guts即可使用。此回合中，攔網成功時，發動【ドシャット(5)】(Do-Shatto / 攔死 5)。,支付Guts...將此中央攔網者下方的卡片，依照指定數量放置到棄牌區。【ドシャット(N)】...此回合結束時，自己的進攻點數變為N。
音駒,CHARACTER,HV-D02-003,夜久 衛輔,"登場, 接球",D,Li,-,-,5,0,0,從自己的手牌中棄1張卡即可使用。此角色的接球點數+2。,棄牌...將指定的卡片，依照指定數量放置到棄牌區。
音駒,CHARACTER,HV-D02-004,灰羽 列夫,-,D,MB,1,2,1,0,3,當自己的攔網角色登場時，若此角色為攻擊角色，可支付2 Guts使用。將此角色作為側邊攔網者登場到自己的攔網區。（若攔網區已有「灰羽列夫」，或攔網角色已有3人，則此角色無法登場至攔網區）,支付Guts...將此角色下方的卡片，依照指定數量放置到棄牌區。
音駒,CHARACTER,HV-D02-005,海 信行,-,D,WS,1,2,5,0,2,-,-
音駒,CHARACTER,HV-D02-006,山本 猛虎,-,D,WS,5,2,2,0,3,-,-
音駒,CHARACTER,HV-D02-007,福永 招平,-,D,WS,1,0,4,1,3,-,-
音駒,CHARACTER,HV-D02-008,犬岡 走,-,D,WS,2,3,3,0,3,-,-
音駒,CHARACTER,HV-D02-009,芝山 優生,"登場, 接球",D,Li,-,-,5,0,0,支付2 Guts即可使用。抽1張卡。,支付Guts...將此角色下方的卡片，依照指定數量放置到棄牌區。
音駒,CHARACTER,HV-D02-010,手白 球彥,-,D,S,4,1,4,1,0,-,-
音駒,CHARACTER,HV-P01-020,黑尾 鐵朗,-,秘,MB,5,2,2,0,3,-,-
音駒,CHARACTER,HV-P01-021,黑尾 鐵朗,"登場, 攻擊",頂,MB,2,2,3,0,1,支付3點毅力(Guts)即可使用。此角色的攻擊點數+3，並從自己的一個區域中，將2張卡片名不同的音駒毅力卡加入手牌。,-
音駒,CHARACTER,HV-P01-021,黑尾 鐵朗,"登場, 攻擊",頂P,MB,2,2,3,0,1,支付3點毅力(Guts)即可使用。此角色的攻擊點數+3，並從自己的一個區域中，將2張卡片名不同的音駒毅力卡加入手牌。,此卡為 HV-P01-021 的平行閃卡版本
音駒,CHARACTER,HV-P01-022,黑尾 鐵朗,-,S,MB,1,1,5,0,3,-,-
"烏野,音駒",CHARACTER,HV-P01-073,月島・黒尾,登場,N,"MB, MB",2,3,0,0,2,登場此卡時，將此卡的卡片名稱變更為「月島 螢」或「黒尾 鐵朗」。（登場此卡時所選擇的卡片名稱，將有效至該回合結束。此卡在計算場上角色數量時，視為1人）,"所屬：烏野1年, 音駒3年"
音駒,CHARACTER,HV-P01-017,孤爪 研磨,-,秘,S,2,2,2,2,1,-,-
音駒,CHARACTER,HV-P01-018,孤爪 研磨,"登場, 舉球",頂P,S,1,2,0,1,1,支付3點毅力(Guts)即可使用。此角色的托球點數+1，若自己所有角色皆為音駒，可從自己的事件區域將最多1張卡片加入手牌。,此卡為 HV-P01-018 的平行閃卡版本
音駒,CHARACTER,HV-P01-018,孤爪 研磨,"登場, 舉球",頂,S,1,2,0,1,1,支付3點毅力(Guts)即可使用。此角色的托球點數+1，若自己所有角色皆為音駒，可從自己的事件區域將最多1張卡片加入手牌。,-
音駒,CHARACTER,HV-P01-019,孤爪 研磨,-,R,S,1,1,2,1,1,當自己原本攻擊點數為3的攻擊角色登場時，若此角色為托球角色，支付2點毅力(Guts)即可使用。將自己攻擊區域的1張音駒毅力卡移至攻擊區域登場，該角色的攻擊點數+2。,-
音駒,CHARACTER,HV-P01-072,日向・孤爪,登場,N,"MB, S",1,0,0,1,3,登場此卡時，將此卡的卡片名稱變更為「日向 翔陽」或「孤爪 研磨」。（登場此卡時所選擇的卡片名稱，將有效至該回合結束。此卡在計算場上角色數量時，視為1人）,"所屬：烏野1年, 音駒2年"
音駒,CHARACTER,HV-P01-023,夜久 衛輔,-,S,LI,-,-,5,0,0,在此接球角色卡之上，登場「夜久 衛輔」以外的音駒角色卡時，可將此卡丟棄。該角色的接球點數+2。,-
音駒,CHARACTER,HV-P01-023,夜久 衛輔,-,SP,LI,-,-,5,0,0,在此接球角色卡之上，登場「夜久 衛輔」以外的音駒角色卡時，可將此卡丟棄。該角色的接球點數+2。,-
音駒,CHARACTER,HV-P01-024,夜久 衛輔,-,N,LI,-,-,6,0,0,-,-
音駒,CHARACTER,HV-P01-025,灰羽 列夫,"登場, 攻擊",S,MB,1,3,1,0,2,支付2點Guts即可使用以下2種效果。▶若此角色是因「孤爪 研磨」的技能登場，此角色的攻擊點數+2。▶下一個對手回合中，每當對手的中央攔網手登場時，該角色的攔網點數-3。,-
音駒,CHARACTER,HV-P01-026,灰羽 列夫,-,N,MB,2,3,3,0,3,-,-
音駒,CHARACTER,HV-P01-027,海 信行,-,R,WS,1,0,4,1,3,-,-
音駒,CHARACTER,HV-P01-027,海 信行,-,RP,WS,1,0,4,1,3,-,此卡為 HV-P01-027 的平行閃卡版本
音駒,CHARACTER,HV-P01-028,山本 猛虎,-,N,WS,1,2,0,0,3,在此攻擊角色卡之上，「灰羽 列夫」登場時，可從自己手牌丟棄1張音駒卡片。該角色的攻擊點數+1。,-
音駒,CHARACTER,HV-P01-029,福永 招平,-,R,WS,1,1,5,1,0,-,-
音駒,CHARACTER,HV-P01-029,福永 招平,-,RP,WS,1,1,5,1,0,-,此卡為 HV-P01-029 的平行閃卡版本
音駒,CHARACTER,HV-P01-030,犬岡 走,-,N,WS,1,3,5,0,0,-,-
音駒,CHARACTER,HV-P01-031,芝山 優生,"接球, 手牌",N,LI,-,-,4,0,0,從手牌丟棄此卡：自己的1名音駒角色的接球點數+2。,此技能可在接球階段中，當此卡在手牌時，於和事件卡相同的時機使用。
音駒,CHARACTER,HV-P01-032,手白 球彥,"登場, 發球",R,S,3,1,1,1,0,下一個對手回合中，對手的接球角色和托球角色的技能無效化。,-
梟谷,CHARACTER,HV-PR-006,木兎 光太郎,-,P,WS,3,3,2,0,3,-,-
梟谷,CHARACTER,HV-P01-043,木兎 光太郎,"登場, 攻擊",頂,WS,4,1,2,0,0,當此角色從你的手牌中出現，你所有角色均為梟谷，且你攻擊區域中的Guts數量為奇數時，可以使用此技能。此角色的攻擊點數 +5。,-
梟谷,CHARACTER,HV-P01-044,木兎 光太郎,-,R,WS,5,2,2,0,3,-,-
梟谷,CHARACTER,HV-P01-045,赤葦 京治,"登場, 舉球",S,S,2,1,0,1,2,從自己的托球區域和攻擊區域合計支付4 Guts則可使用。 這名角色的托球點數+2， 並從自己的棄牌區將最多1枚「木兎 光太郎」加入手牌。,-
梟谷,CHARACTER,HV-P01-046,赤葦 京治,-,R,S,1,2,3,2,1,-,-
梟谷,CHARACTER,HV-P01-047,木葉 秋紀,攻擊,R,WS,1,0,5,0,0,在這名攻擊角色的上方有<梟谷>的角色登場時，若從自己的手牌棄掉1張卡則可使用。 讓上方登場的角色攻擊+1。,-
梟谷,CHARACTER,HV-P01-048,木葉 秋紀,-,NP,WS,1,2,2,1,3,-,-
梟谷,CHARACTER,HV-P01-049,猿杙 大和,-,N,WS,3,2,3,0,3,-,-
梟谷,CHARACTER,HV-P01-050,小見 春樹,-,N,Li,-,-,6,0,0,-,-
梟谷,CHARACTER,HV-P01-051,鷲尾 辰生,"登場, 攔網",N,MB,3,3,1,0,0,對手的進攻點數在4以上時，若從自己的牌組上方棄掉1張卡則可使用。 若該卡為<梟谷>的卡片，則 [=ワンタッチ(3)] する。(執行 [=One Touch(3)]),[=ワンタッチ(N)] (One Touch(N))：將對手的進攻點數-N。 立即結束攔網階段，進入自己的抽牌階段。
梟谷,CHARACTER,HV-P01-052,尾長 渉,-,N,MB,2,3,3,0,3,-,-
梟谷,CHARACTER,HV-PR-013,木兎・赤葦,登場,P,WS/S,1,0,0,1,3,當這張卡登場時，將這張卡的卡名變為「木兎 光太郎」或「赤葦 京治」。,(登場時所選擇的卡名，直到該回合結束時為止都有效。這張卡在計算場上角色數量時，視為1人)
稲荷崎,CHARACTER,HV-P01-063,宮 侑,,"N, NP",S,5,1,1,2,1,,
稲荷崎,CHARACTER,HV-P01-064,宮 治,,"N, NP",WS,2,2,4,0,3,,
稲荷崎,CHARACTER,HV-P01-065,北 信介,"登場, 接球",N,WS,2,1,2,0,3,對手的EVENT區托球及攻擊卡合計5張或以上時，此角色接球值+6。,
稲荷崎,CHARACTER,HV-P02-015,宮 侑 ,-,秘,S,3,1,2,2,2,,
稲荷崎,CHARACTER,HV-P02-016,宮 侑,"登場, 舉球","頂, 頂P",S,5,0,0,1,0,支付 3 Guts 發動。抽1張牌，此角色的托球值+2。此角色因「どん ぴしゃり」的技能登場時，下個對手回合中，對手的 One Touch(N) 和 接球階段 手牌 的技能無效。,
稲荷崎,CHARACTER,HV-P02-017,宮 侑,"登場, 舉球",R,S,4,0,0,1,1,支付 3 Guts 發動。自己的棄牌區合計有6張或以上不同名的稲荷崎角色卡時，此角色二傳值+2，自己棄牌區最多1張的稲荷崎WS或MB角色卡加上手牌。,
稲荷崎,CHARACTER,HV-P02-018,宮 侑,-,"N, NP",S,2,1,1,2,3,,
稲荷崎,CHARACTER,HV-P02-019,宮 治,-,秘,WS,2,1,3,1,3,,
稲荷崎,CHARACTER,HV-P02-020,宮 治,"登場, 攻擊","頂, 頂P",WS,3,1,3,0,2,"支付 3 Guts 發動。抽1張牌，此角色的攻擊值+3。此角色因「どん ぴしゃり」的技能登場時，攻擊值+1,下個對手回合中，對手只能從手牌登場最多2個攔網角色。",
稲荷崎,CHARACTER,HV-P02-021,宮 治,"登場, 攻擊","R, RP",WS,3,2,1,0,2,自己手牌2張或以下時，此角色攻擊值+2。,
稲荷崎,CHARACTER,HV-P02-022,宮 治,-,N,WS,1,1,5,0,3,,
稲荷崎,CHARACTER,HV-P02-023,北 信介,-,秘,WS,1,0,5,1,1,,
稲荷崎,CHARACTER,HV-P02-024,北 信介,"登場, 接球",S,WS,1,0,5,0,0,棄掉自己1張手牌，並支付 3 Guts 發動。此角色的接球值+1，從自己Event區最多1張的稲荷崎卡牌加入手牌。,
稲荷崎,CHARACTER,HV-P02-025,北 信介,"登場, 接球",R,WS,1,0,5,0,0,支付 2 Guts 發動。抽1張卡，然後自己手牌棄1張卡到棄牌區。,
稲荷崎,CHARACTER,HV-P02-026,角名 倫太郎,-,秘,MB,3,3,2,0,3,,
稲荷崎,CHARACTER,HV-P02-027,角名 倫太郎,"登場, 攻擊","S, SP",MB,2,2,2,0,2,自己棄牌區合計6款或以上不同卡名的稲荷崎角色卡時，斜放此卡發動。此角色攻擊值+2，下個對手回合中，無視對手中間攔網角色的數值。,
稲荷崎,CHARACTER,HV-P02-028,角名 倫太郎,-,R,MB,2,2,4,0,3,,
稲荷崎,CHARACTER,HV-P02-029,尾白 阿蘭,"登場, 攻擊","R, RP",WS,5,0,2,0,2,支付 3 Guts 發動。自己棄牌區合計6款或以上不同卡名的稲荷崎角色卡時，此角色攻擊值+3，下個對手回合中，對手接球角色的技能無效。,
稲荷崎,CHARACTER,HV-P02-030,尾白 阿蘭,-,N,WS,5,0,4,0,3,,
稲荷崎,CHARACTER,HV-P02-031,理石 平介,"登場, 發球",N,WS,0,2,2,0,3,支付 1 Guts 發動。如支付的 Guts 卡是「理石 平介」此角色的發球值+6。下個對手回合中，對手的托球角色不可以登場 [S]。,
稲荷崎,CHARACTER,HV-P02-032,銀島 結,-,N,WS,1,3,5,0,0,,
稲荷崎,CHARACTER,HV-P02-033,大耳 練,-,N,MB,2,3,3,0,3,,
稲荷崎,CHARACTER,HV-P02-034,赤木 路成,-,N,Li,-,-,6,0,0,,
稲荷崎,CHARACTER,HV-P02-035,小作 裕渡,"接球, 手牌",N,WS,3,0,0,0,0,(從手牌中掉棄此卡牌)：自己的1個稲荷崎角色的接球值+2。,
稲荷崎,CHARACTER,HV-P02-077,宮兄弟,登場,"極, S",S/WS,1,0,0,1,3,此卡登場時，此卡的名稱由「宮兄弟」改為「宫侑」或「宮治」。,(此卡登場時選擇的名稱在本回合結束前有效。計算場上角色數量時，此卡計為1個角色。)
稲荷崎,CHARACTER,HV-D03-001,宮 侑,"登場, 攔網",N,S,2,2,0,1,0,支付 2 Guts 發動。此角色的托球值+1，並且從自己的Event區選擇最多1張「今日何をする?」加入手牌。如果成功加入，則將1張手牌放置到牌組底部。,
稲荷崎,CHARACTER,HV-D03-002,宮 治,"登場, 攻擊",D,WS,1,1,1,1,2,如果自己的二傳角色是「宮侑」，可以透過將自己一張手牌放置到牌組底部發動。此角色的攻擊值+2。,
稲荷崎,CHARACTER,HV-D03-003,宮 侑,"登場, 發球",D,S,5,0,0,1,0,可以透過將自己手牌中的一張事件卡放置到事件區發動。抽取一張牌，並選擇以下其中一個選項：▶ 該角色的發球值+1。▶ 在對手的下一個回合中，對手的二傳角色登場時，該角色的托球值- 2。,（此技能放置的事件卡的技能無法使用。）
稲荷崎,CHARACTER,HV-D03-004,宮 侑,-,D,S,4,0,0,2,3,,
稲荷崎,CHARACTER,HV-D03-005,宮 治,-,D,WS,1,3,0,2,2,,
稲荷崎,CHARACTER,HV-D03-006,北 信介,-,D,WS,2,0,5,1,0,,
稲荷崎,CHARACTER,HV-D03-007,角名 倫太郎,-,D,MB,2,3,3,0,3,,
稲荷崎,CHARACTER,HV-D03-008,尾白 アラン,"登場, 攻擊",D,WS,4,0,1,0,3,支付 5 Guts 發動。此角色攻擊值+2。,
稲荷崎,CHARACTER,HV-D03-009,銀島 結,-,D,WS,2,2,4,0,3,,
稲荷崎,CHARACTER,HV-D03-010,大耳 練,-,D,MB,3,3,2,0,3,,
稲荷崎,CHARACTER,HV-D03-011,赤木 路成,"登場, 接球",D,Li,-,-,5,0,0,支付 2 Guts 發動。此角色接球值+2。,
稲荷崎,CHARACTER,HV-PR-034,宮 侑,-,P,S,3,2,2,2,0,,
稲荷崎,CHARACTER,HV-PR-035,宮 治,-,P,WS,4,1,4,0,3,,
白鳥沢,CHARACTER,HV-P01-056,牛島 若利,"登場, 攻擊, 發球","S,SP",WS,4,0,3,0,2,你可以將一張手牌中的事件卡放置到事件區來使用此效果。抽取一張卡牌，並將該角色的一項屬性值+2。,
白鳥沢,CHARACTER,HV-P02-046,牛島 若利,"登場, 攻擊","頂, 頂P",WS,3,1,3,0,2,自己二傳角色是白鳥沢的S時，支付3 Guts發動效果。此角色攻擊值+3，對手接球區的2Guts放置到棄牌區。,
白鳥沢,CHARACTER,HV-P02-047,牛島 若利,-,R,WS,1,1,5,0,3,,
白鳥沢,CHARACTER,HV-P02-048,天童 覚,"登場, 攔網","S, SP",MB,1,2,1,0,3,投擲1次Token發動效果。如果是正面的話，此角色攔網值+4。反面的話，自己牌庫頂3張放置到棄牌區。,
白鳥沢,CHARACTER,HV-P02-049,天童 覚,"登場, 攔網",R,MB,2,3,0,0,2,對手總進攻值4或以上時發動效果。獲得One Touch 2。,One Touch N：對手的進攻總值-N。立即結束攔網階段，並進入自己的抽牌階段。
白鳥沢,CHARACTER,HV-P02-050,白布 賢二郎,"登場, 舉球","R, RP",S,2,0,0,1,2,自己所有角色都是白鳥沢時，支付2 Guts 發動效果。此角色的托球值+2，如果支付的所有 Guts 都是 S 時，將自己白鳥沢的一張 Guts 加到攻擊區的Guts。,
白鳥沢,CHARACTER,HV-P02-051,五色 工,"登場, 攻擊",R,WS,4,2,0,0,2,此角色在手牌中登場在「牛島 若利」之上，自己手牌3張或以下時，此角色攻擊值+2。,
白鳥沢,CHARACTER,HV-P02-052,大平 獅音,"登場, 接球",N,WS,1,0,5,0,0,支付3 Guts 使用效果。此角色接球值+2。,
白鳥沢,CHARACTER,HV-P02-053,山形 隼人,-,N,Li,-,-,6,0,0,,
